_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2665;That's none of your business. (informal);"[""That's none of your business""]";"[(""That's"", ['NVC 3sg PRES']), ('none', ['Pron 3rd NEG nomacc']), ('of', ['Prep']), ('your', ['Pron GEN ref2nd']), ('business', ['N 3sg'])]";['T32000 T500 T1 T600 T2520000'];['that is', 'none', 'of', 'your', 'business'];[('that is', ['NVC 3sg PRES']), ('none', ['Pron 3rd NEG nomacc']), ('of', ['Prep']), ('your', ['Pron GEN ref2nd']), ('business', ['N 3sg'])];[('that is', 'NVC'), ('none', 'Pron'), ('of', 'Prep'), ('your', 'Pron'), ('business', 'N')];Das geht dich nichts an.;[['Das geht dich nichts an']];[''];['28 42 24 648 06'];[''];[''];aktiv;4/B2;III;ph;Don’t be nosy! It’s none of your business!;
2666;to be friends (with sb) (irr);[['to be friends'], ['to be friends with sb'], ['to be friends with']];[[('to', ['V TO']), ('be', ['V INF']), ('friends', ['N 3pl'])], [('to', ['V TO']), ('be', ['V INF']), ('friends', ['N 3pl']), ('with', ['Prep'])]];[['T0 T0 T653200'], ['T0 T0 T653200 T300 T1'], ['T0 T0 T653200 T300']];[['be', 'friend'], ['be', 'friend', 'with']];[[('be', ['V INF']), ('friend', ['N 3pl'])], [('be', ['V INF']), ('friend', ['N 3pl']), ('with', ['Prep'])]];[[('be', 'V'), ('friend', 'N')], [('be', 'V'), ('friend', 'N'), ('with', 'Prep')]];(mit jdm) befreundet sein;[['befreundet sein'], ['mit jdm befreundet sein']];[''];[['137622 86'], ['62 026 137622 86']];[''];[''];aktiv;4/B2;III;ph;Harry is good friends with Isabelle.;
2667;whole;['whole'];[('whole', ['A'])];['W4000'];['whole'];[('whole', ['A'])];[('whole', 'A')];ganz, gesamt;[['ganz'], ['gesamt']];[''];[['468'], ['4862']];[''];[''];aktiv;4/B2;III;a;Tom is my best friend in the whole world.;
2668;What do I care?;['What do I care'];[('What', ['Pron 3sg wh']), ('do', ['V INF']), ('I', ['Pron 1sg nom']), ('care', ['V INF'])];['W300 W0 W W600'];['what', 'do', 'I', 'care'];[('what', ['Pron 3sg wh']), ('do', ['V INF']), ('I', ['Pron 1sg nom']), ('care', ['V INF'])];[('what', 'Pron'), ('do', 'V'), ('I', 'Pron'), ('care', 'V')];Was kümmert mich das?;[['Was kümmert mich das']];[''];['38 4672 64 28'];[''];[''];passiv;4/B2;III;ph;;
2669;nor;['nor'];[('nor', ['Conj'])];['N60'];['nor'];[('nor', ['Conj'])];[('nor', 'Conj')];und auch nicht, noch;[['und auch nicht'], ['noch']];[''];[['062 04 642'], ['64']];[''];[''];passiv;4/B2;III;k;;
2670;for that matter;['for that matter'];[('for', ['Prep']), ('that', ['Det']), ('matter', ['N 3sg'])];['F60 F300 F36000'];['for', 'that', 'matt'];[('for', ['Prep']), ('that', ['Det']), ('matt', ['N 3sg'])];[('for', 'Prep'), ('that', 'Det'), ('matt', 'N')];eigentlich;[['eigentlich']];[''];['046254'];[''];[''];passiv;4/B2;III;ph;;
2671;matter;['matter'];[('matter', ['N 3sg'])];['M36000'];['matt'];[('matt', ['N 3sg'])];[('matt', 'N')];Angelegenheit, Sache;[['Angelegenheit'], ['Sache']];[''];[['0645462'], ['84']];[''];[''];aktiv;4/B2;III;s;Will you phone me back, please? I need to talk to you about a personal matter. It's about mum.;
2672;to be in touch (with sb) (irr);[['to be in touch'], ['to be in touch with sb'], ['to be in touch with']];[[('to', ['V TO']), ('be', ['V INF']), ('in', ['Prep']), ('touch', ['N 3sg'])], [('to', ['V TO']), ('be', ['V INF']), ('in', ['Prep']), ('touch', ['N 3sg']), ('with', ['Prep'])]];[['T0 T0 T5 T2000'], ['T0 T0 T5 T2000 T300 T1'], ['T0 T0 T5 T2000 T300']];[['be', 'in', 'touch'], ['be', 'in', 'touch', 'with']];[[('be', ['V INF']), ('in', ['Prep']), ('touch', ['N 3sg'])], [('be', ['V INF']), ('in', ['Prep']), ('touch', ['N 3sg']), ('with', ['Prep'])]];[[('be', 'V'), ('in', 'Prep'), ('touch', 'N')], [('be', 'V'), ('in', 'Prep'), ('touch', 'N'), ('with', 'Prep')]];(mit jdm) in Kontakt sein;[['in Kontakt sein'], ['mit jdm in Kontakt sein']];[''];[['06 46242 86'], ['62 026 06 46242 86']];[''];[''];aktiv;4/B2;III;ph;Zoe is in touch with her French friends by email.;
2673;to claim;['to claim'];[('to', ['V TO']), ('claim', ['V INF'])];['T0 T4500'];['claim'];[('claim', ['V INF'])];[('claim', 'V')];behaupten, Anspruch erheben auf;[['behaupten'], ['Anspruch erheben auf']];[''];[['1126'], ['068174 0716 03']];[''];[''];aktiv;4/B2;III;v;to claim = to say;
2674;day in, day out;['day in day out'];[('day', ['N 3sg']), ('in', ['Prep']), ('day', ['N 3sg']), ('out', ['Part'])];['D00 D5 D00 D30'];['day', 'in', 'day', 'out'];[('day', ['N 3sg']), ('in', ['Prep']), ('day', ['N 3sg']), ('out', ['Part'])];[('day', 'N'), ('in', 'Prep'), ('day', 'N'), ('out', 'Part')];tagaus, tagein, jeden Tag;[['tagaus'], ['tagein'], ['jeden Tag']];[''];[['248'], ['246'], ['026 24']];[''];[''];passiv;4/B2;III;ph;;
2675;to point out;['to point out'];[('to', ['V TO']), ('point', ['V INF']), ('out', ['V INF'])];['T0 T5300 T30'];['point', 'out'];[('point', ['V INF']), ('out', ['V INF'])];[('point', 'V'), ('out', 'V')];hinweisen, deuten, aufmerksam machen;[['hinweisen'], ['deuten'], ['aufmerksam machen']];[''];[['06386'], ['226'], ['0367486 646']];[''];[''];aktiv;4/B2;III;v;Max pointed out all the interesting sights on their tour.;ID 5639689
2676;to report;['to report'];[('to', ['V TO']), ('report', ['V INF'])];['T0 T16300'];['report'];[('report', ['V INF'])];[('report', 'V')];berichten, melden, hier: wiedergeben;[['berichten'], ['melden'], ['wiedergeben']];[''];[['17426'], ['6526'], ['327416']];[''];[''];aktiv;4/B3;III;v;Newspapers often report what people have said.;
2677;effect;['effect'];[('effect', ['N 3sg'])];['E12300'];['effect'];[('effect', ['N 3sg'])];[('effect', 'N')];Wirkung, Effekt, Auswirkung;[['Wirkung'], ['Effekt'], ['Auswirkung']];[''];[['37464'], ['0342'], ['0837464']];[''];[''];aktiv;4/B4;III;s;Scott’s friend’s comments had a big effect on him.;
2678;Valentine's Day;"[""Valentine's Day""]";"[(""Valentine's"", ['N 3sg GEN']), ('Day', ['N 3sg'])]";['V4535200000 V00'];['valentine', 'day'];[('valentine', ['N 3sg GEN']), ('day', ['N 3sg'])];[('valentine', 'N'), ('day', 'N')];Valentinstag;[['Valentinstag']];[''];['35626824'];[''];[''];passiv;4/B4;III;s;;
2679;to get to know sb (irr);[['to get to know'], ['to get to know sb']];[[('to', ['V TO']), ('get', ['V INF']), ('to', ['V TO']), ('know', ['V INF'])]];[['T0 T30 T0 T500'], ['T0 T30 T0 T500 T1']];[['get', 'to', 'know']];[[('get', ['V INF']), ('to', ['V TO']), ('know', ['V INF'])]];[[('get', 'V'), ('to', 'V'), ('know', 'V')]];jdn kennenlernen;[['jdn kennenlernen']];[''];['026 4665766'];[''];[''];aktiv;4/B4;III;ph;It’s fun to get to know new people.;
2680;confused;['confused'];[('confused', [['A']])];['C5123000'];['confuse'];[('confuse', [['A']])];[('confuse', 'A')];verwirrt, durcheinander, verworren;[['verwirrt'], ['durcheinander'], ['verworren']];[''];[['37372'], ['2746627'], ['37376']];[''];[''];aktiv;4/B4;III;a;I don't understand. I'm so confused.;ID 6193425
2681;to insist;['to insist'];[('to', ['V TO']), ('insist', ['V INF'])];['T0 T52230'];['insist'];[('insist', ['V INF'])];[('insist', 'V')];(darauf) bestehen;[['bestehen'], ['darauf bestehen']];[''];[['1826'], ['273 1826']];[''];[''];aktiv;4/B4;III;v;John’s mum insists he does his homework before he plays computer games.;
2682;set;['set'];[('set', ['N 3sg'])];['S30'];['set'];[('set', ['N 3sg'])];[('set', 'N')];Satz, Paar;[['Satz'], ['Paar']];[''];[['88'], ['17']];[''];[''];passiv;4/B5;III;s;;
2683;silent;['silent'];[('silent', ['A'])];['S45300'];['silent'];[('silent', ['A'])];[('silent', 'A')];still, ruhig, schweigsam;[['still'], ['ruhig'], ['schweigsam']];[''];[['825'], ['74'], ['83486']];[''];[''];aktiv;4/B5;III;a;Dan couldn’t hear a sound. The house was silent.;
2684;latest;['latest'];[('latest', ['A SUPER', 'A'])];['L32300'];['latest'];[('latest', ['A SUPER', 'A'])];[('latest', 'A')];jüngste(r, s), letzte(r, s), neueste(r, s);[['jüngste'], ['jüngster'], ['jüngstes'], ['letzte'], ['letzter'], ['letztes'], ['neueste'], ['neuester'], ['neuestes']];[''];[['06482'], ['064827'], ['064828'], ['582'], ['5827'], ['5828'], ['682'], ['6827'], ['6828']];[''];[''];aktiv;4/B5;III;a;Kim had been away for two weeks, so Tessa told her about the latest developments.;
2685;development;['development'];[('development', ['N 3sg'])];['D1415530000'];['development'];[('development', ['N 3sg'])];[('development', 'N')];Entwicklung;[['Entwicklung']];[''];['06234564'];[''];[''];aktiv;4/B5;III;s;Kim had been away for two weeks, so Tessa told her about the latest developments.;
2686;to keep (irr);['to keep'];[('to', ['V TO']), ('keep', ['V INF'])];['T0 T100'];['keep'];[('keep', ['V INF'])];[('keep', 'V')];behalten, aufbewahren, hier: lassen, beibehalten;[['behalten'], ['aufbewahren'], ['lassen'], ['beibehalten']];[''];[['1526'], ['031376'], ['586'], ['11526']];[''];[''];aktiv;4/B5;III;v;Sometimes it is better to keep things as they are.;
2687;responsible;['responsible'];[('responsible', ['A'])];['R2152140000'];['responsible'];[('responsible', ['A'])];[('responsible', 'A')];verantwortlich, zuständig;[['verantwortlich'], ['zuständig']];[''];[['376237254'], ['882624']];[''];[''];aktiv;4/B5;III;a;;
2688;trouble (no pl);['trouble'];[('trouble', ['N 3sg'])];['T614000'];['trouble'];[('trouble', ['N 3sg'])];[('trouble', 'N')];Schwierigkeiten, Ärger;[['Schwierigkeiten'], ['Ärger']];[''];[['837426'], ['0747']];[''];[''];aktiv;4/B5;III;s;Robert is in trouble.;ID 4754622
2689;to introduce;['to introduce'];[('to', ['V TO']), ('introduce', ['V INF'])];['T0 T53632000'];['introduce'];[('introduce', ['V INF'])];[('introduce', 'V')];vorstellen;[['vorstellen']];[''];['378256'];[''];[''];aktiv;4/B5;III;v;Kate introduced us to her cousin.;
2690;social studies (only pl);['social studies'];[('social', ['N 3sg']), ('studies', ['N 3pl'])];['S24000 S332000'];['social', 'study'];[('social', ['N 3sg']), ('study', ['N 3pl'])];[('social', 'N'), ('study', 'N')];Gemeinschaftskunde, Sozialkunde;[['Gemeinschaftskunde'], ['Sozialkunde']];[''];[['466838462'], ['885462']];[''];[''];passiv;4/B7;III;s;;
2691;to list;['to list'];[('to', ['V TO']), ('list', ['V INF'])];['T0 T230'];['list'];[('list', ['V INF'])];[('list', 'V')];auflisten;[['auflisten']];[''];['035826'];[''];[''];aktiv;4/B7;III;v;Mary listed all of her favourite animals.;
2692;social networking site;['social networking site'];[('social', ['N 3sg']), ('networking', ['V PROG']), ('site', ['N 3sg'])];['S24000 S362520000 S300'];['social', 'network', 'site'];[('social', ['N 3sg']), ('network', ['V PROG']), ('site', ['N 3sg'])];[('social', 'N'), ('network', 'V'), ('site', 'N')];soziales Netzwerk;[['soziales Netzwerk']];[''];['8858 68374'];[''];[''];aktiv;4/B7;III;s;PalPlace is a social networking site where you can meet your friends online.;
2693;to keep sb up-to-date (irr);[['to keep up-to-date'], ['to keep sb up-to-date']];[[('to', ['V TO']), ('keep', ['V INF']), ('up-to-date', ['A'])]];[['T0 T100 T133300000'], ['T0 T100 T1 T133300000']];[['keep', 'up-to-date']];[[('keep', ['V INF']), ('up-to-date', ['A'])]];[[('keep', 'V'), ('up-to-date', 'A')]];jdn auf dem neuesten Stand halten;[['jdn auf dem neuesten Stand halten']];[''];['026 03 26 6826 8262 0526'];[''];[''];aktiv;4/B7;III;ph;My German friend Daniel keeps me up-to-date on his news via PalPlace.;
2694;distant;['distant'];[('distant', ['A'])];['D235300'];['distant'];[('distant', ['A'])];[('distant', 'A')];fern, (weit) entfernt;[['fern'], ['entfernt'], ['weit entfernt']];[''];[['376'], ['0623762'], ['32 0623762']];[''];[''];aktiv;4/B7;III;a;Nancy meets up with her distant relatives once a year.;
2695;relative;['relative'];[('relative', ['N 3sg'])];['R4310000'];['relative'];[('relative', ['N 3sg'])];[('relative', 'N')];Verwandter/Verwandte;[['Verwandter'], ['Verwandte']];[''];[['373627'], ['37362']];[''];[''];aktiv;4/B7;III;s;Nancy meets up with her distant relatives once a year.;
2696;cause;['cause'];[('cause', ['N 3sg'])];['C2000'];['cause'];[('cause', ['N 3sg'])];[('cause', 'N')];Grund, Ursache, Anlass, hier: Sache;[['Grund'], ['Ursache'], ['Anlass'], ['Sache']];[''];[['4762'], ['0784'], ['0658'], ['84']];[''];[''];passiv;4/B7;III;s;;
2697;right;['right'];[('right', ['N 3sg'])];['R2300'];['right'];[('right', ['N 3sg'])];[('right', 'N')];Recht;[['Recht']];[''];['742'];[''];[''];passiv;4/B7;III;s;;
2698;social;['social'];[('social', ['A'])];['S24000'];['social'];[('social', ['A'])];[('social', 'A')];Gesellschaft(s)-, gesellschaftlich, sozial;[['Gesellschaft-'], ['Gesellschafts-'], ['gesellschaftlich'], ['sozial']];[''];[['485832'], ['485838'], ['48583254'], ['885']];[''];[''];aktiv;4/B7;III;a;Our school organizes lots of social events for us: school discos, trips and sports days.;
2699;activist;['activist'];[('activist', ['N 3sg'])];['A2312300'];['activist'];[('activist', ['N 3sg'])];[('activist', 'N')];Aktivist/in;[['Aktivist'], ['Aktivistin']];[''];[['042382'], ['0423826']];[''];[''];passiv;4/B7;III;s;;
2700;to join;['to join'];[('to', ['V TO']), ('join', ['V INF'])];['T0 T500'];['join'];[('join', ['V INF'])];[('join', 'V')];verbinden, hier: sich anschließen;[['verbinden'], ['sich anschließen']];[''];[['371626'], ['84 068586']];[''];[''];aktiv;4/B7;III;v;Jane joined the girls’ tennis club.;
2701;recording contract;['recording contract'];[('recording', ['N 3sg']), ('contract', ['N 3sg'])];['R26352000 R5362300'];['record', 'contract'];[('record', ['N 3sg']), ('contract', ['N 3sg'])];[('record', 'N'), ('contract', 'N')];Plattenvertrag;[['Plattenvertrag']];[''];['152637274'];[''];[''];passiv;4/B7;III;s;;
2702;contract;['contract'];[('contract', ['N 3sg'])];['C5362300'];['contract'];[('contract', ['N 3sg'])];[('contract', 'N')];Vertrag;[['Vertrag']];[''];['37274'];[''];[''];passiv;4/B7;III;s;;
2703;separate;['separate'];[('separate', ['A'])];['S1630000'];['separate'];[('separate', ['A'])];[('separate', 'A')];getrennt, separat, einzeln;[['getrennt'], ['separat'], ['einzeln']];[''];[['42762'], ['8172'], ['06856']];[''];[''];aktiv;4/B8;III;a;On a separate sheet of paper, make a list of your favourite sports.;
2704;sheet;['sheet'];[('sheet', ['N 3sg'])];['S3000'];['sheet'];[('sheet', ['N 3sg'])];[('sheet', 'N')];Blatt, Platte, Laken;[['Blatt'], ['Platte'], ['Laken']];[''];[['152'], ['152'], ['546']];[''];[''];passiv;4/B8;III;s;;
2705;setting;['setting'];[('setting', ['N 3sg'])];['S352000'];['set'];[('set', ['N 3sg'])];[('set', 'N')];Einstellung;[['Einstellung']];[''];['0682564'];[''];[''];passiv;4/B8;III;s;;
2706;careful;['careful'];[('careful', ['A'])];['C614000'];['careful'];[('careful', ['A'])];[('careful', 'A')];vorsichtig, hier: sorgfältig;[['vorsichtig'], ['sorgfältig']];[''];[['378424'], ['8743524']];[''];[''];aktiv;4/B8;III;a;Be careful with the glasses. You don't want to break them.;
2707;username;['username'];[('username', ['N sg'])];['U2655000'];['username'];[('username', ['N sg'])];[('username', 'N')];Benutzername, Username;[['Benutzername'], ['Username']];[''];[['168766'], ['08766']];[''];[''];aktiv;4/B8;III;s;You could use your real name as your username, or you could make up a nickname.;
2708;nickname;['nickname'];[('nickname', ['N 3sg'])];['N2550000'];['nickname'];[('nickname', ['N 3sg'])];[('nickname', 'N')];Spitzname, Kosename;[['Spitzname'], ['Kosename']];[''];[['81866'], ['4866']];[''];[''];aktiv;4/B8;III;s;You could use your real name as your username, or you could make up a nickname.;
2709;security (no pl);['security'];[('security', ['N 3sg'])];['S2630000'];['security'];[('security', ['N 3sg'])];[('security', 'N')];Sicherheit;[['Sicherheit']];[''];['8472'];[''];[''];aktiv;4/B8;III;s;Security is very important when you are online. You must stay safe.;
2710;control (no pl);['control'];[('control', ['N 3sg'])];['C536400'];['control'];[('control', ['N 3sg'])];[('control', 'N')];Kontrolle, Gewalt, Herrschaft;[['Kontrolle'], ['Gewalt'], ['Herrschaft']];[''];[['46275'], ['4352'], ['07832']];[''];[''];aktiv;4/B8;III;s;Make sure you always have control of everything on your profile on the Internet.;
2711;roller coaster;['roller coaster'];[('roller', ['N 3sg']), ('coaster', ['N 3sg'])];['R46000 R236000'];['roller', 'coaster'];[('roller', ['N 3sg']), ('coaster', ['N 3sg'])];[('roller', 'N'), ('coaster', 'N')];Achterbahn;[['Achterbahn']];[''];['042716'];[''];[''];passiv;4/C1;III;s;;
2712;Guess what!;['Guess what'];[('Guess', ['V INF']), ('what', ['Pron 3sg wh'])];['G2000 G300'];['guess', 'what'];[('guess', ['V INF']), ('what', ['Pron 3sg wh'])];[('guess', 'V'), ('what', 'Pron')];Stell dir vor!, Rate mal!;[['Stell dir vor'], ['Rate mal']];[''];[['825 27 37'], ['72 65']];[''];[''];passiv;4/C3;III;ph;Guess what, my brother Ben has a girlfriend! – No way!;
2713;Valentine's card;"[""Valentine's card""]";"[(""Valentine's"", ['N 3sg GEN']), ('card', ['N 3sg'])]";['V4535200000 V630'];['valentine', 'card'];[('valentine', ['N 3sg GEN']), ('card', ['N 3sg'])];[('valentine', 'N'), ('card', 'N')];Valentinskarte;[['Valentinskarte']];[''];['356268472'];[''];[''];passiv;4/C3;III;s;;
2714;whoever;['whoever'];[('whoever', ['Pron'])];['W160000'];['whoever'];[('whoever', ['Pron'])];[('whoever', 'Pron')];wer (auch immer);[['wer'], ['wer auch immer']];[''];[['37'], ['37 04 067']];[''];[''];passiv;4/C3;III;p;;
2715;it says;['it says'];[('it', ['Pron 3sg neut']), ('says', ['V 3sg PRES'])];['I3 I200'];['it', 'say'];[('it', ['Pron 3sg neut']), ('say', ['V 3sg PRES'])];[('it', 'Pron'), ('say', 'V')];da(rauf) steht;[['da(rauf) steht'], ['darauf steht']];[''];[['2  73  822'], ['273 822']];[''];[''];passiv;4/C3;III;ph;;
2716;the only one;['the only one'];[('the', ['Det']), ('only', ['A']), ('one', ['CD'])];['T00 T540 T50'];['the', 'only', 'one'];[('the', ['Det']), ('only', ['A']), ('one', ['CD'])];[('the', 'Det'), ('only', 'A'), ('one', 'CD')];der/die/das Einzige;[['der Einzige'], ['die Einzige'], ['das Einzige']];[''];[['27 0684'], ['2 0684'], ['28 0684']];[''];[''];passiv;4/C3;III;ph;;
2717;to help oneself (to sth);[['to help oneself'], ['to help oneself to sth'], ['to help oneself to']];[[('to', ['V TO']), ('help', ['V INF']), ('oneself', ['Pron 3sg refl'])], [('to', ['V TO']), ('help', ['V INF']), ('oneself', ['Pron 3sg refl']), ('to', ['V TO'])]];[['T0 T410 T524100'], ['T0 T410 T524100 T0 T30'], ['T0 T410 T524100 T0']];[['help', 'oneself'], ['help', 'oneself', 'to']];[[('help', ['V INF']), ('oneself', ['Pron 3sg refl'])], [('help', ['V INF']), ('oneself', ['Pron 3sg refl']), ('to', ['V TO'])]];[[('help', 'V'), ('oneself', 'Pron')], [('help', 'V'), ('oneself', 'Pron'), ('to', 'V')]];sich (an etw) bedienen;[['sich bedienen'], ['sich an etw bedienen']];[''];[['84 1266'], ['84 06 023 1266']];[''];[''];passiv;4/C3;III;ph;;
2718;mirror;['mirror'];[('mirror', ['N 3sg'])];['M66000'];['mirror'];[('mirror', ['N 3sg'])];[('mirror', 'N')];Spiegel;[['Spiegel']];[''];['8145'];[''];[''];passiv;4/C3;III;s;Gillian is standing in front of a mirror. She can't decide which top to wear.;ID 6114291
2719;to hurry (up);[['to hurry'], ['to hurry up']];[[('to', ['V TO']), ('hurry', ['V INF'])], [('to', ['V TO']), ('hurry', ['V INF']), ('up', ['Part'])]];[['T0 T6000'], ['T0 T6000 T1']];[['hurry'], ['hurry', 'up']];[[('hurry', ['V INF'])], [('hurry', ['V INF']), ('up', ['Part'])]];[[('hurry', 'V')], [('hurry', 'V'), ('up', 'Part')]];sich beeilen;[['sich beeilen']];[''];['84 156'];[''];[''];aktiv;4/C3;III;ph;Hurry up or we’ll be late! – I’m coming!;
2720;myself;['myself'];[('myself', ['Pron 1sg refl'])];['M24100'];['myself'];[('myself', ['Pron 1sg refl'])];[('myself', 'Pron')];mir, mich, ich (selbst);[['mir'], ['mich'], ['ich'], ['ich selbst']];[''];[['67'], ['64'], ['04'], ['04 85182']];[''];[''];aktiv;4/C4;III;p;;
2721;yourself (pl yourselves);[['yourself'], ['yourselves']];[[('yourself', ['Pron 2sg refl'])], [('yourselves', ['Pron 2pl refl'])]];[['Y6241000'], ['Y624120000']];[['yourself'], ['yourselves']];[[('yourself', ['Pron 2sg refl'])], [('yourselves', ['Pron 2pl refl'])]];[[('yourself', 'Pron')], [('yourselves', 'Pron')]];dich, dir, (du/Sie) selbst;[['dich'], ['dir'], ['selbst'], ['du selbst'], ['Sie selbst']];[''];[['24'], ['27'], ['85182'], ['2 85182'], ['8 85182']];[''];[''];aktiv;4/C4;III;p;;
2722;himself;['himself'];[('himself', ['Pron 3sg masc refl'])];['H524100'];['himself'];[('himself', ['Pron 3sg masc refl'])];[('himself', 'Pron')];sich, (sich) selbst;[['sich'], ['selbst'], ['sich selbst']];[''];[['84'], ['85182'], ['84 85182']];[''];[''];aktiv;4/C4;III;p;;
2723;herself;['herself'];[('herself', ['Pron 3sg fem refl'])];['H624100'];['herself'];[('herself', ['Pron 3sg fem refl'])];[('herself', 'Pron')];sich, (sich) selbst;[['sich'], ['selbst'], ['sich selbst']];[''];[['84'], ['85182'], ['84 85182']];[''];[''];aktiv;4/C4;III;p;;
2724;itself;['itself'];[('itself', ['Pron 3sg neut refl'])];['I32410'];['itself'];[('itself', ['Pron 3sg neut refl'])];[('itself', 'Pron')];sich, (sich) selbst;[['sich'], ['selbst'], ['sich selbst']];[''];[['84'], ['85182'], ['84 85182']];[''];[''];aktiv;4/C4;III;p;;
2725;ourselves;['ourselves'];[('ourselves', ['Pron 1pl refl'])];['O62412000'];['ourselves'];[('ourselves', ['Pron 1pl refl'])];[('ourselves', 'Pron')];uns, wir;[['uns'], ['wir']];[''];[['068'], ['37']];[''];[''];aktiv;4/C4;III;p;;
2726;themselves;['themselves'];[('themselves', ['Pron 3pl refl'])];['T524120000'];['themselves'];[('themselves', ['Pron 3pl refl'])];[('themselves', 'Pron')];sich, sie selbst, (sich) selbst;[['sich'], ['sie selbst'], ['selbst'], ['sich selbst']];[''];[['84'], ['8 85182'], ['85182'], ['84 85182']];[''];[''];aktiv;4/C4;III;p;;
2727;use;['use'];[('use', ['N 3sg'])];['U20'];['use'];[('use', ['N 3sg'])];[('use', 'N')];Verwendung, (Be)nutzung, Gebrauch;[['Verwendung'], ['nutzung'], ['Benutzung'], ['Gebrauch']];[''];[['3736264'], ['6864'], ['16864'], ['4174']];[''];[''];aktiv;4/C4;III;s;The use of mobile phones in school is not allowed.;
2728;to burn;['to burn'];[('to', ['V TO']), ('burn', ['V INF'])];['T0 T650'];['burn'];[('burn', ['V INF'])];[('burn', 'V')];(ab)brennen, verbrennen;[['brennen'], ['abbrennen'], ['verbrennen']];[''];[['1766'], ['01766'], ['371766']];[''];[''];aktiv;4/C5;III;v;Paul got too close to the fire and burned his hand.;
2729;to wash;['to wash'];[('to', ['V TO']), ('wash', ['V INF'])];['T0 T200'];['wash'];[('wash', ['V INF'])];[('wash', 'V')];(sich) waschen;[['waschen'], ['sich waschen']];[''];[['386'], ['84 386']];[''];[''];aktiv;4/C5;III;v;I have to wash my hands before dinner.;
2730;to dress;['to dress'];[('to', ['V TO']), ('dress', ['V INF'])];['T0 T6200'];['diving'];[('diving', ['V INF'])];[('diving', 'V')];sich anziehen;[['sich anziehen']];[''];['84 0686'];[''];[''];aktiv;4/C5;III;v;Rebecca was late for school, so she had to dress very quickly.;
2731;to hurry;['to hurry'];[('to', ['V TO']), ('hurry', ['V INF'])];['T0 T6000'];['hurry'];[('hurry', ['V INF'])];[('hurry', 'V')];sich beeilen;[['sich beeilen']];[''];['84 156'];[''];[''];aktiv;4/C5;III;v;;
2732;to reassure sb;[['to reassure'], ['to reassure sb']];[[('to', ['V TO']), ('reassure', ['V INF'])]];[['T0 T2600000'], ['T0 T2600000 T1']];[['reassure']];[[('reassure', ['V INF'])]];[[('reassure', 'V')]];jdn (wieder) beruhigen;[['jdn beruhigen'], ['jdn wieder beruhigen']];[''];[['026 1746'], ['026 327 1746']];[''];[''];passiv;4/C6;III;ph;;
2733;whether;['whether'];[('whether', ['Comp'])];['W360000'];['whether'];[('whether', ['Comp'])];[('whether', 'Comp')];(egal) ob;[['ob'], ['egal ob']];[''];[['01'], ['045 01']];[''];[''];aktiv;4/C6;III;k;Sarah doesn’t know whether to go to the party or not.;
2734;awkward;['awkward'];[('awkward', ['A'])];['A263000'];['awkward'];[('awkward', ['A'])];[('awkward', 'A')];schwierig, unangenehm, peinlich;[['schwierig'], ['unangenehm'], ['peinlich']];[''];[['8374'], ['066466'], ['1654']];[''];[''];passiv;4/C6;III;a;;
2735;to panic;['to panic'];[('to', ['V TO']), ('panic', ['V INF'])];['T0 T5200'];['panic'];[('panic', ['V INF'])];[('panic', 'V')];in Panik geraten;[['in Panik geraten']];[''];['06 164 4726'];[''];[''];passiv;4/C6;III;v;;
2736;on one's own;"[""on one's own""]";"[('on', ['Prep']), (""one's"", ['N 3sg GEN', 'Pron 3sg GEN nomacc']), ('own', ['A'])]";['O5 O5200 O50'];['on', 'one', 'own'];[('on', ['Prep']), ('one', ['N 3sg GEN', 'Pron 3sg GEN nomacc']), ('own', ['A'])];[[('on', 'Prep'), ('one', 'N'), ('own', 'A')], [('on', 'Prep'), ('one', 'Pron'), ('own', 'A')]];(ganz) allein(e);[['allein'], ['alleine'], ['ganz allein'], ['ganz alleine']];[''];[['056'], ['056'], ['468 056'], ['468 056']];[''];[''];aktiv;4/C6;III;ph;None of Pat’s friends could go swimming, so he had to go on his own.;
